,vars,model_returns,FP,FN,TP,TN,accuracy,precision,recall,TNR
128,"1, 4, 7",0.6512837905542698,23,6,44,17,0.68,0.66,0.88,0.425
197,"4, 5, 7",0.722572062677987,13,16,34,27,0.68,0.72,0.68,0.675
51,"5, 6",0.44575269993668404,25,4,46,15,0.68,0.65,0.92,0.375
201,"4, 6, 7",0.7327594437301393,14,15,35,26,0.68,0.71,0.7,0.65
196,"4, 5, 6",0.745343772115511,12,17,33,28,0.68,0.73,0.66,0.7
203,"4, 6, 9",0.7327594437301393,14,15,35,26,0.68,0.71,0.7,0.65
202,"4, 6, 8",0.7327594437301393,14,15,35,26,0.68,0.71,0.7,0.65
156,"2, 4, 7",0.6512837905542698,23,6,44,17,0.68,0.66,0.88,0.425
177,"3, 4, 7",0.6512837905542698,23,6,44,17,0.68,0.66,0.88,0.425
176,"3, 4, 6",0.722572062677987,13,16,34,27,0.68,0.72,0.68,0.675
127,"1, 4, 6",0.7199104725187304,14,16,34,26,0.67,0.71,0.68,0.65
213,"5, 6, 9",0.37613477866942896,26,4,46,14,0.67,0.64,0.92,0.35
155,"2, 4, 6",0.7199104725187304,14,16,34,26,0.67,0.71,0.68,0.65
158,"2, 4, 9",0.610186663876981,24,6,44,16,0.67,0.65,0.88,0.4
212,"5, 6, 8",0.36584055501007856,27,4,46,13,0.66,0.63,0.92,0.325
179,"3, 4, 9",0.3521712696246177,29,3,47,11,0.64,0.62,0.94,0.275
186,"3, 6, 7",0.3231820539966063,32,1,49,8,0.63,0.6,0.98,0.2
56,"6, 7",0.3231820539966063,32,1,49,8,0.63,0.6,0.98,0.2
165,"2, 6, 7",0.3231820539966063,32,1,49,8,0.63,0.6,0.98,0.2
101,"0, 6, 7",0.3231820539966063,32,1,49,8,0.63,0.6,0.98,0.2
223,"6, 7, 10",0.3231820539966063,32,1,49,8,0.63,0.6,0.98,0.2
137,"1, 6, 7",0.3231820539966063,32,1,49,8,0.63,0.6,0.98,0.2
216,"5, 7, 9",0.28073204497572474,32,2,48,8,0.62,0.6,0.96,0.2
133,"1, 5, 7",0.2633672798476592,32,3,47,8,0.61,0.59,0.94,0.2
97,"0, 5, 7",0.2633672798476592,32,3,47,8,0.61,0.59,0.94,0.2
182,"3, 5, 7",0.2633672798476592,32,3,47,8,0.61,0.59,0.94,0.2
135,"1, 5, 9",0.415290118480463,28,7,43,12,0.61,0.61,0.86,0.3
161,"2, 5, 7",0.2633672798476592,32,3,47,8,0.61,0.59,0.94,0.2
99,"0, 5, 9",0.415290118480463,28,7,43,12,0.61,0.61,0.86,0.3
52,"5, 7",0.2633672798476592,32,3,47,8,0.61,0.59,0.94,0.2
217,"5, 7, 10",0.2633672798476592,32,3,47,8,0.61,0.59,0.94,0.2
